22982	252479	n:1	961182
23560	35963	1:1	1240377
91734	42526	n:1	
HUMAN00037	42526	n:1	922020
22884	42218	1:1	1205127
10531	35475	1:1	1226232
2665	34264	n:1	
84991	3355114	1:1	
22944	40242	1:1	714853
509	43507	1:1	1177657
79746	36926	1:1	893485
26019	31724	1:1	1216490
55526	43689	1:1	1250564
55176	33905	n:1	
57118	43792	n:1	
55388	35390	1:1	1239280
22929	36587	n:1	
8559	42285	1:1	1243651
9397	38909	n:1	
8516	36693	1:1	
80013	32885	1:1	850320
9317	41116	1:1	1208166
6251	34774	1:1	964228
8029	326235	1:1	964549
1787	34632	1:1	1183645
9200	34614	n:1	1216526
8027	34505	1:1	
221078	40507	1:1	961803
221079	38931	n:1	
64215	32902	1:1	967841
23412	31856	1:1	808596
5305	3885565	n:1	
219670	38322	1:1	
2572	38484	n:1	
23590	43697	1:1	1236442
10006	41718	n:1	
84930	45969	1:1	965210
HUMAN00670	35546	1:1	1151139
22931	44360	1:1	
143098	36176	n:1	1195772
84569	37340	n:m	
84569	37341	n:m	943681
119180	37340	n:m	
119180	37341	n:m	
3799	36810	n:1	961095
3688	44885	1:1	964975
56288	32703	1:1	
HUMAN00836	35420	1:1	1214899
8325	40090	n:1	
9790	39904	1:1	761662
55454	36079	n:1	
253725	37331	n:1	
100287932	3355096	n:1	
5599	44801	n:1	
1103	42249	1:1	918630
6572	42795	1:1	963172
55753	39899	n:1	
100652748	3355096	n:1	
100652748	3355096	n:1	
387680	37331	n:1	962373
56624	43618	1:1	692158
5592	44817	1:1	
65217	43528	1:1	961855
7019	42433	1:1	964763
80114	34946	1:1	1240338
983	34411	1:1	961033
9886	40249	n:1	
84890	38901	1:1	670066
26091	38151	n:1	698929
55680	43277	n:1	965098
1763	31934	1:1	855126
26128	33714	1:1	842269
6832	40543	1:1	808331
56681	42615	n:1	953175
5464	37922	n:1	1250080
64106	43253	1:1	
55222	32156	1:1	965907
1979	33569	n:1	697301
8879	46059	1:1	1183922
219699	36703	n:1	340136
HUMAN01581	36044	1:1	779954
54541	39270	1:1	1197692
HUMAN01604	41707	1:1	961115
10367	33999	1:1	
90550	59223	1:1	
5033	43620	n:1	
11319	38291	1:1	954339
23234	41346	1:1	1193890
51021	36570	1:1	961732
9632	33409	n:1	770533
118487	50139	1:1	
23053	50356	1:1	1227637
8509	38736	n:1	886823
818	43828	n:1	
7414	31201	1:1	1215668
132	39479	1:1	
338599	32888	n:1	1168457
HUMAN01770	32888	n:1	
7417	34500	n:1	
84858	34847	n:1	
83938	318582	1:1	
3778	42940	1:1	964318
9231	34573	1:1	1236177
11128	32524	1:1	1247541
6229	37589	1:1	1162981
10105	39573	1:m	
10105	32595	1:m	962047
4143	48552	n:1	
81619	33838	n:1	
27069	40898	1:m	841408
27069	32041	1:m	
94233	42261	1:1	964504
2746	42832	n:1	1238198
9060	40167	n:1	1212194
84896	44021	1:1	961435
5728	43991	1:1	752267
142910	34450	n:m	
142910	41643	n:m	
643414	34450	n:m	
643414	41643	n:m	
340654	34463	n:m	
340654	34451	n:m	
3988	34463	n:m	
3988	34451	n:m	
53354	46234	n:1	
10556	44392	1:1	1219099
80351	43095	n:1	
9044	41943	1:1	924410
54708	40556	1:1	1223099
3416	40248	1:1	937091
54536	42499	n:1	1196437
118924	34781	1:1	896115
159371	41375	1:1	859532
64318	40870	1:1	1241378
142827	41477	1:1	
5832	40443	1:1	1248719
7093	42945	n:1	
56889	38635	1:1	698602
6585	36746	n:1	1182858
23223	32320	1:1	719374
5223	43447	n:m	820498
5223	46246	n:m	
51013	34548	1:1	1163053
84287	43268	1:1	
64210	40626	1:1	950828
80019	40647	n:1	
